,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
152,35030,전라북도,익산시,0.000201,73.1,0.75,0.25,31.3,38.1,25.6,77.5,37.1,23.77,2.48,14.17,59.58,비수도권,52.4,B
153,35040,전라북도,정읍시,0.000216,82.7,0.625,0.375,39.0,58.6,26.1,66.4,49.4,23.49,2.72,6.99,66.8,비수도권,60.1,A
154,35050,전라북도,남원시,0.000134,81.6,0.8333333333333334,0.1666666666666666,36.4,23.6,20.0,58.1,19.1,21.0,3.19,5.99,69.82,비수도권,57.9,A
155,35060,전라북도,김제시,0.000113,127.8,0.0,1.0,36.6,42.9,20.9,60.5,33.9,18.09,2.34,7.23,72.34,비수도권,49.1,B
156,35310,전라북도,완주군,0.000117,114.5,0.8636363636363636,0.1363636363636363,37.7,28.0,25.4,61.5,20.5,4.92,0.49,5.92,88.67,비수도권,61.0,A
157,35320,전라북도,진안군,0.000279,125.1,0.75,0.25,29.0,30.3,17.6,68.8,32.8,14.01,2.17,0.62,83.2,비수도권,67.0,A
158,35330,전라북도,무주군,0.000169,75.7,0.0,1.0,36.3,24.3,22.3,59.6,21.7,16.1,2.8,0.53,80.58,비수도권,55.2,A
159,35340,전라북도,장수군,0.000173,75.9,0.3333333333333333,0.6666666666666666,35.2,22.2,18.6,39.6,26.5,22.49,3.45,1.49,72.57,비수도권,61.2,A
160,35350,전라북도,임실군,0.000106,122.8,1.0,0.0,33.1,33.0,24.3,51.6,20.7,12.32,1.48,4.43,81.78,비수도권,67.7,A
161,35360,전라북도,순창군,8.6e-05,113.6,0.75,0.25,35.3,21.8,17.3,59.2,24.7,9.42,1.23,0.0,89.34,비수도권,60.4,A
162,35370,전라북도,고창군,4.599999999999999e-05,131.8,0.6666666666666666,0.3333333333333333,31.9,34.3,29.0,58.6,32.2,14.38,1.64,3.25,80.73,비수도권,65.3,A
163,35380,전라북도,부안군,0.000217,90.1,0.0,1.0,32.6,25.7,25.4,66.6,17.1,15.18,1.07,3.2,79.46,비수도권,55.7,A
164,36010,전라남도,목포시,0.0002089999999999,73.7,0.7711864406779662,0.2288135593220339,37.3,48.1,25.5,38.9,20.5,14.37,1.92,8.12,24.49,비수도권,56.0,A
